Lugar;Espacialidade;COD IBGE;% da população em domicílios com água encanada (2010);% da população em domicílios com banheiro e água encanada (2010);% da população em domicílios com coleta de lixo (2010);% da população em domicílios com energia elétrica (2010);% da população em domicílios com densidade > 2 (2010)
Juru (PB);Município;250800;67,92;69,12;97;99,41;25,56
Lagoa (PB);Município;250810;66,08;58,36;94,37;98,23;36,47
Lagoa de Dentro (PB);Município;250820;58,46;55,03;97,53;98,7;29,01
Lagoa Seca (PB);Município;250830;53,52;52,54;97,82;99,74;27,15
Lastro (PB);Município;250840;53,38;45,04;95,25;97,58;38,74
Livramento (PB);Município;250850;44,69;39,55;98,37;99,16;29,63
Logradouro (PB);Município;250855;66,58;66,81;100;99,17;31,07
Lucena (PB);Município;250860;88,52;88;90,4;98,97;40,51
Mãe D'Água (PB);Município;250870;78,08;64,82;98,95;98,96;30,5
Malta (PB);Município;250880;88,84;83,14;93,64;98,17;31,98
Mamanguape (PB);Município;250890;81,02;81,91;93,95;99,61;33,81
Manaíra (PB);Município;250900;69,27;57,19;86,41;98,49;32,99
Marcação (PB);Município;250905;96,72;72,01;73,17;99,45;40,41
Mari (PB);Município;250910;90,83;81,68;99,33;99,31;28,8
Marizópolis (PB);Município;250915;92,65;86,62;86,2;99,17;35,58
Massaranduba (PB);Município;250920;52,65;53,72;97,87;99,55;33,12
Mataraca (PB);Município;250930;95,5;89,62;97,15;98,7;39,14
Matinhas (PB);Município;250933;35,04;27,02;100;99,38;37,53
Mato Grosso (PB);Município;250937;79,42;68,84;97,83;98,99;38,9
Maturéia (PB);Município;250939;66,01;61,71;98,83;99,81;26,1
Mogeiro (PB);Município;250940;33,45;31,54;96,03;99,48;31,63
Montadas (PB);Município;250950;62,15;67,96;99,82;99,41;23,03
Monte Horebe (PB);Município;250960;66,18;65,11;99,32;99,09;36,62
Monteiro (PB);Município;250970;72,46;71,06;100;99,55;19,35
Mulungu (PB);Município;250980;68,06;69,8;93,7;98,95;30,8
Natuba (PB);Município;250990;48,02;41,58;73,66;99,11;35,64
Nazarezinho (PB);Município;251000;50,47;56,92;95,04;99,29;29,18
Nova Floresta (PB);Município;251010;86,1;81,88;99,17;99,5;25,46
Nova Olinda (PB);Município;251020;78,52;67,29;99,82;98,49;29,05
Nova Palmeira (PB);Município;251030;59,16;59,26;99,01;99,95;18,85
Olho D'Água (PB);Município;251040;63,19;57,26;88,24;99,59;41,64
Olivedos (PB);Município;251050;53,54;64,94;99,67;99,9;20,86
Ouro Velho (PB);Município;251060;73,43;75,02;94,94;99,45;16,01
Parari (PB);Município;251065;60,7;66,05;95,02;99,8;19,1
Passagem (PB);Município;251070;58,78;84,04;80,44;98,64;33,3
Patos (PB);Município;251080;95,65;93,7;97,54;99,57;31,75
Paulista (PB);Município;251090;57,19;61,22;98,4;99,64;31,83
Pedra Branca (PB);Município;251100;80,24;73,53;98,66;99,09;36,2
Pedra Lavrada (PB);Município;251110;45,91;52,94;98,85;99,45;24,35
Pedras de Fogo (PB);Município;251120;82,67;65,57;99,7;99,89;37,38
Pedro Régis (PB);Município;251272;64,97;60,96;68,45;99,2;26,59
Piancó (PB);Município;251130;76,67;75,6;92,38;99,05;29,81
Picuí (PB);Município;251140;70,7;72,79;99,49;99,61;26,19
Pilar (PB);Município;251150;69,71;67,88;94,73;98,16;32,69
Pilões (PB);Município;251160;69,76;58,1;95,48;99,66;39,6
Pilõezinhos (PB);Município;251170;75,37;73,33;99,61;99,88;41,59
Pirpirituba (PB);Município;251180;82,41;74,26;97,87;99,53;32,04
Pitimbu (PB);Município;251190;74,79;78,59;76,3;98,87;35,55
Pocinhos (PB);Município;251200;59,59;61,66;96,86;99,7;27,63
Poço Dantas (PB);Município;251203;79,92;52,58;100;99,62;39,15
Poço de José de Moura (PB);Município;251207;69,08;77,4;100;99,71;26,03
Pombal (PB);Município;251210;82,43;85,65;96,4;99,37;29,28
Prata (PB);Município;251220;76,55;79,38;95,94;98,9;27,76
Princesa Isabel (PB);Município;251230;77,96;74,58;97,49;99,42;24,43
Puxinanã (PB);Município;251240;61,74;67,39;94,44;99,58;26,19
Queimadas (PB);Município;251250;73,21;75,4;96,51;99,8;28,03
Quixabá (PB);Município;251260;47,67;31,97;99,14;99,63;46,02
Remígio (PB);Município;251270;78,76;74,36;98,05;98,87;31,91
Riachão (PB);Município;251274;70,43;75,6;85,9;100;27,8
Riachão do Bacamarte (PB);Município;251275;58,48;54,86;93,04;99,14;27,48
Riachão do Poço (PB);Município;251276;39,74;67,66;74,11;99,14;32,29
Riacho de Santo Antônio (PB);Município;251278;61,52;62,31;100;98,32;36,08
Riacho dos Cavalos (PB);Município;251280;61,03;65,94;92,86;99,59;37,93
Rio Tinto (PB);Município;251290;60,38;77,35;91,7;98,43;26,58
Salgadinho (PB);Município;251300;34,59;39,12;75,24;98,61;35,77
Salgado de São Félix (PB);Município;251310;63,82;58,06;96,02;98,87;32,44
Santa Cecília (PB);Município;251315;1,22;3,26;90,69;99,36;35,15
Santa Cruz (PB);Município;251320;86,85;82,71;97,57;99,6;26,9
Santa Helena (PB);Município;251330;76,2;77,9;98,5;99,17;25,92
Santa Inês (PB);Município;251335;62,69;45,74;88,39;94,3;36,92
Santa Luzia (PB);Município;251340;92,99;83,93;97,43;99,36;27,12
Santana de Mangueira (PB);Município;251350;71,35;43,92;95,97;99,41;42,75
Santana dos Garrotes (PB);Município;251360;75,24;62,79;64,43;99,46;34,29
Santarém (PB);Município;251365;81,2;71,33;100;99,46;30,67
Santa Rita (PB);Município;251370;88,41;82,63;93,47;99,5;31,72
Santa Teresinha (PB);Município;251380;69,78;68,56;99,58;99,89;34,15
Santo André (PB);Município;251385;2,14;16,55;100;99,76;12,92
São Bentinho (PB);Município;251392;76,23;75,92;98,14;99,81;29,65
São Bento (PB);Município;251390;84,69;86,31;97,54;99,88;37,51
São Domingos (PB);Município;251396;49,58;51,12;90,79;99,21;25,95
São Domingos do Cariri (PB);Município;251394;62,2;75,76;99,22;99,27;29,2
São Francisco (PB);Município;251398;88,65;85,94;98,31;100;26,03
São João do Cariri (PB);Município;251400;68,69;79,1;99,69;99,5;16,55
São João do Rio do Peixe (PB);Município;250070;73,6;73,31;97,69;98,83;28,36
São João do Tigre (PB);Município;251410;27,47;19,64;93,54;98,79;24,73
São José da Lagoa Tapada (PB);Município;251420;65,24;52,69;80,73;98,67;32,04
São José de Caiana (PB);Município;251430;46,44;37,07;91,74;97,2;40,58
São José de Espinharas (PB);Município;251440;49,23;62,57;99,51;97,55;34,39
São José de Piranhas (PB);Município;251450;74,09;70,41;96,01;99,15;30,39
São José de Princesa (PB);Município;251455;49,36;36,35;84,17;99,2;26,31
São José do Bonfim (PB);Município;251460;62,32;61,98;99,2;99,51;34,93
São José do Brejo do Cruz (PB);Município;251465;8,29;15,04;99,12;99,18;34,04
São José do Sabugi (PB);Município;251470;79,01;71,16;99,9;97,98;23,68
São José dos Cordeiros (PB);Município;251480;49,4;47,33;96,59;99,57;12,22
São José dos Ramos (PB);Município;251445;45,1;42,51;97,52;99,32;33,57
São Mamede (PB);Município;251490;86,87;83,38;99,44;98,96;26,2
São Miguel de Taipu (PB);Município;251500;60,24;53,59;87,37;99,23;40,56
São Sebastião de Lagoa de Roça (PB);Município;251510;54,78;51,24;61,37;99,85;27,72
São Sebastião do Umbuzeiro (PB);Município;251520;71,07;67,4;99,38;98,26;21,76
Sapé (PB);Município;251530;81,53;76,17;95,9;98,93;34,04
Seridó (PB);Município;251540;47,1;41,94;88,02;98,56;36,46
Serra Branca (PB);Município;251550;78,65;77,21;97,59;99,63;21,48
Serra da Raiz (PB);Município;251560;82,7;76,15;91,94;98,67;27,1
Serra Grande (PB);Município;251570;64,23;62,04;89,98;99,21;29,98
Serra Redonda (PB);Município;251580;55,68;54,65;99,3;99,18;30,86
Serraria (PB);Município;251590;68,9;58,35;90,98;98,4;31,54
Sertãozinho (PB);Município;251593;64,67;66,12;99,65;99,28;23,06
Sobrado (PB);Município;251597;68,78;62,14;100;98,63;32,37
Solânea (PB);Município;251600;75,87;72,53;92,88;99,14;27,47
Soledade (PB);Município;251610;72,86;74,59;97,73;99,67;26,21
Sossêgo (PB);Município;251615;1,2;20,43;98,27;99,57;29,14
Sousa (PB);Município;251620;93,39;85,22;93,39;99,13;33,81
Sumé (PB);Município;251630;79,65;79,21;99,04;99,39;18,61
Tacima (PB);Município;251640;64,89;58,16;97,88;99,3;45,21
Taperoá (PB);Município;251650;66,23;60,56;97,24;99,23;30,1
Tavares (PB);Município;251660;59,06;63,43;88,23;99,81;26,58
Teixeira (PB);Município;251670;69,57;65,8;90,27;99,41;30,48
Tenório (PB);Município;251675;1,83;21,6;97,02;98,91;31,85
Triunfo (PB);Município;251680;75,37;64,12;92,29;99,38;34,27
Uiraúna (PB);Município;251690;84,41;79,96;96,92;99,66;27,89
Umbuzeiro (PB);Município;251700;23,9;30,05;87,06;99,04;33,67
Várzea (PB);Município;251710;79,15;79,89;100;98,41;22,65
Vieirópolis (PB);Município;251720;69,56;53,88;100;99,73;33,57
Vista Serrana (PB);Município;250550;56,66;54,04;97,68;99,6;36,97
Zabelê (PB);Município;251740;80,03;80,38;99,75;99,32;22,64
Abreu E Lima (PE);Município;260005;96,57;92,62;97,38;99,99;26,74
Afogados da Ingazeira (PE);Município;260010;84,92;80,93;96,4;99,78;21,65
Afrânio (PE);Município;260020;43,04;44,9;87,73;98,27;37,66
Agrestina (PE);Município;260030;82,68;83,68;98,15;99,65;27,24
Água Preta (PE);Município;260040;77,8;64,03;90,48;99,17;45,58
Águas Belas (PE);Município;260050;65,38;49,14;87,4;99,23;34,53
Alagoinha (PE);Município;260060;38,3;31,65;97,59;99,3;25,36
Aliança (PE);Município;260070;88,99;79,56;84,1;99,77;32,45
Altinho (PE);Município;260080;66,1;60,32;97,01;99,37;24,07
Amaraji (PE);Município;260090;86,88;72,92;92,31;99,26;34,03
Angelim (PE);Município;260100;74,85;70,29;93,46;99,45;28,31
Araçoiaba (PE);Município;260105;80,12;51,8;70,45;99,73;35,67
Araripina (PE);Município;260110;57,12;51,11;94,46;97,69;39,54
Arcoverde (PE);Município;260120;88,64;84,5;95,93;99,19;26,98
Barra de Guabiraba (PE);Município;260130;95,85;92,84;99,85;98,95;41,2
Barreiros (PE);Município;260140;82,06;73,3;87,38;99,54;39,44
Belém de Maria (PE);Município;260150;66,88;80,91;96,24;99,96;40,83
Belém do São Francisco (PE);Município;260160;65,45;60,59;86,91;97,67;41,32
Belo Jardim (PE);Município;260170;88,91;87,71;98,38;99,34;24,29
Betânia (PE);Município;260180;69,88;53,03;94,9;98,89;31,56
Bezerros (PE);Município;260190;83,81;76,58;94,66;99,28;23,87
Bodocó (PE);Município;260200;47,85;34,54;88,46;96,47;42,92
Bom Conselho (PE);Município;260210;68,85;60,31;98,36;99,44;30,01
Bom Jardim (PE);Município;260220;68,61;65,66;86,35;99,57;28,43
Bonito (PE);Município;260230;88,36;78,77;99,73;99,3;32,96
Brejão (PE);Município;260240;81,76;66,05;98,77;99,4;31,18
Brejinho (PE);Município;260250;50,4;51,89;97,33;98,59;22,95
Brejo da Madre de Deus (PE);Município;260260;54,89;56,78;95,16;99,42;31,1
Buenos Aires (PE);Município;260270;83,66;67,75;83,9;99,43;30,58
Buíque (PE);Município;260280;49,71;40,96;95,4;97,47;41,87
Cabo de Santo Agostinho (PE);Município;260290;94,52;88,88;96,81;99,93;29,63
Cabrobó (PE);Município;260300;79,12;69,19;93,87;98,03;37,73
Cachoeirinha (PE);Município;260310;68,18;67,95;97,03;99,38;26,95
Caetés (PE);Município;260320;26,91;24,09;95,44;99,46;33,08
Calçado (PE);Município;260330;46,17;41,53;99,29;99,46;25,42
Calumbi (PE);Município;260340;81,56;58,11;78,48;99,58;30,7
Camaragibe (PE);Município;260345;94,34;92,74;94,87;99,85;28,52
Camocim de São Félix (PE);Município;260350;88,55;87,04;98,69;99,42;25,67
Camutanga (PE);Município;260360;89,44;60,56;82,7;98,66;22,77
Canhotinho (PE);Município;260370;78,26;69,92;96,47;98,35;30,56
Capoeiras (PE);Município;260380;38,78;43,9;94,68;99,6;34,15
Carnaíba (PE);Município;260390;60,89;48,39;98,65;99,37;23,56
Carnaubeira da Penha (PE);Município;260392;42,1;18,76;90,05;97,35;47,79
Carpina (PE);Município;260400;90,06;84,8;87,51;99,68;24,29
Caruaru (PE);Município;260410;89,22;88,45;98,15;99,68;26,84
Casinhas (PE);Município;260415;23,16;28,22;93,81;99,14;33,27
Catende (PE);Município;260420;84,24;78,95;88,16;99,67;36,3
Cedro (PE);Município;260430;65,57;72,05;95,87;99,44;39,49
Chã de Alegria (PE);Município;260440;70,63;58,83;95,75;99,1;30,91
Chã Grande (PE);Município;260450;76,02;75,11;86,3;99,85;29,53
Condado (PE);Município;260460;79,37;64,04;97,77;99,63;31,33
Correntes (PE);Município;260470;77,69;80,16;99,45;99,49;40,18
Cortês (PE);Município;260480;82,16;79,53;94,69;99,95;32,75
Cumaru (PE);Município;260490;32,13;35,83;90,44;99,74;27,77
Cupira (PE);Município;260500;86,27;87,05;99,32;99,33;27,04
Custódia (PE);Município;260510;61,54;63,53;79,53;99,4;18,88
Dormentes (PE);Município;260515;49,98;46,83;69,09;96,95;32,82
Escada (PE);Município;260520;88,12;81,43;85,33;99,86;32,47
Exu (PE);Município;260530;51,59;36,01;90,8;97,96;41,03
Feira Nova (PE);Município;260540;72,18;60,4;96,93;99,68;24,05
Fernando de Noronha (PE);Município;260545;99,32;98,73;100;100;38,02
Ferreiros (PE);Município;260550;84,48;55,18;99,29;99,56;31,49
Flores (PE);Município;260560;57,55;55,39;97,63;98,98;29,46
Floresta (PE);Município;260570;66,8;60,65;92,59;97,74;39,72
Frei Miguelinho (PE);Município;260580;33,96;56,58;97,95;99,79;25,56
Gameleira (PE);Município;260590;70,38;61,77;88,59;99,44;44,04
Garanhuns (PE);Município;260600;90,06;85,16;98,44;99,66;24,51
Glória do Goitá (PE);Município;260610;58,05;49,3;98,36;99,56;31,59
Goiana (PE);Município;260620;85,85;80,09;94,52;99,77;30,99
Granito (PE);Município;260630;58,19;48,9;87,35;96,37;35,32
Gravatá (PE);Município;260640;87,3;86,54;91,72;99,58;27,52
Iati (PE);Município;260650;52,34;30,75;97,39;97,86;37,15
Ibimirim (PE);Município;260660;63,28;61,76;94,47;99,03;39,26
Ibirajuba (PE);Município;260670;48,69;33,85;99,35;98,96;31,09
Igarassu (PE);Município;260680;91,5;90,68;89,36;99,76;29,8
Iguaraci (PE);Município;260690;62,99;54,5;94,94;98,59;24,7
Ilha de Itamaracá (PE);Município;260760;86,45;83,44;71,72;98,42;36,29
Inajá (PE);Município;260700;52,01;45,4;78,13;98,05;53,16
Ingazeira (PE);Município;260710;60,39;53,07;82,04;98,81;22,94
Ipojuca (PE);Município;260720;81,18;71,12;97,9;99,4;36,27
Ipubi (PE);Município;260730;45,3;39,44;90,36;96,32;42,68
Itacuruba (PE);Município;260740;85,38;80,9;96,84;93,94;30,87
Itaíba (PE);Município;260750;58,45;41,65;96,34;98,31;33,89
Itambé (PE);Município;260765;92,11;63,56;96,31;99,48;34,94
Itapetim (PE);Município;260770;66,24;56,91;94,98;99,6;18,09
Itapissuma (PE);Município;260775;89,87;92,67;96,92;100;33,79
Itaquitinga (PE);Município;260780;77,26;57,51;94,23;99,32;31,79
Jaboatão dos Guararapes (PE);Município;260790;92,31;87,03;94,79;99,94;26,62
Jaqueira (PE);Município;260795;62,56;54,8;83,65;99,26;42,01
Jataúba (PE);Município;260800;31,09;36,8;83,5;98,08;31,18
Jatobá (PE);Município;260805;77,92;78,15;94,94;99,67;30,22
João Alfredo (PE);Município;260810;63,52;57,14;86,14;99,54;28,31
Joaquim Nabuco (PE);Município;260820;77,55;73,17;86,66;99,79;36,76
Jucati (PE);Município;260825;47,07;43,58;95,78;98,93;27,16
Jupi (PE);Município;260830;44,73;49,03;99,14;99,64;27,88
Jurema (PE);Município;260840;77,25;64,51;96,83;99,14;31,84
Lagoa de Itaenga (PE);Município;260850;73,88;64,31;95,77;99,64;30,36
Lagoa do Carro (PE);Município;260845;65,59;60,76;93,08;99,21;25,33
Lagoa do Ouro (PE);Município;260860;91,88;83,88;95,3;99,51;27,64
Lagoa dos Gatos (PE);Município;260870;62,46;66,36;92,37;99,97;31,23
Lagoa Grande (PE);Município;260875;76,41;77,06;96,82;98,29;39,2
Lajedo (PE);Município;260880;81,59;71,82;97,61;99,45;25,28
Limoeiro (PE);Município;260890;72,74;68,24;95,53;99,59;24,91
Macaparana (PE);Município;260900;91,93;78,83;93,58;99,33;35,12
Machados (PE);Município;260910;79,83;75,84;86,84;99,57;38,7
Manari (PE);Município;260915;30,95;18,81;84,14;97,95;51,91
Maraial (PE);Município;260920;73,85;54,67;90,95;98,21;44,77
Mirandiba (PE);Município;260930;67,01;58,89;92,36;96,88;40,49
Moreilândia (PE);Município;261430;65,13;51,85;87,67;99,37;36,92
Moreno (PE);Município;260940;91,35;84,23;87,65;99,82;29,07
Nazaré da Mata (PE);Município;260950;86,3;84,77;95,75;99,54;26,21
Olinda (PE);Município;260960;97,33;92,53;96,63;99,93;27,69
Orobó (PE);Município;260970;53,87;57,35;97,29;99,63;35,69
Orocó (PE);Município;260980;84,23;70,47;98,19;98,93;40,4
Ouricuri (PE);Município;260990;60,18;53,03;78,1;97,56;39,84
Palmares (PE);Município;261000;88,52;80,57;98,49;99,74;39,11
Palmeirina (PE);Município;261010;73,76;76,6;97,01;99,15;29,43
Panelas (PE);Município;261020;62,99;56,51;99,68;99,07;33,92
Paranatama (PE);Município;261030;42,28;41,56;91,67;99,74;29,08
Parnamirim (PE);Município;261040;57,59;47,34;91,04;94,91;39,63
Passira (PE);Município;261050;63,84;56,13;97,46;99,85;30,58
Paudalho (PE);Município;261060;81,26;79,15;68,03;99,58;31,4
Paulista (PE);Município;261070;97,84;93,94;90,74;99,97;24,64
Pedra (PE);Município;261080;60,29;59,71;91,17;98,37;34,33
Pesqueira (PE);Município;261090;71,46;65,26;95,44;99,06;28,44
Petrolândia (PE);Município;261100;90,13;81,78;96,54;98,68;38,89
Petrolina (PE);Município;261110;91,95;91,26;97,32;99,18;36,89
Poção (PE);Município;261120;53,8;40,32;86,22;99,72;25,16
Pombos (PE);Município;261130;70,64;72,76;95,06;99,35;24,68
Primavera (PE);Município;261140;68,62;73,36;93,68;99,51;37,3
Quipapá (PE);Município;261150;78,48;70;93,44;99,07;37,67
Quixaba (PE);Município;261153;50,78;44,68;94,53;99,72;31,92
Recife (PE);Município;261160;97,45;93,42;97,67;99,92;25,78
Riacho das Almas (PE);Município;261170;49,94;51,33;98,95;99,37;27,39
Ribeirão (PE);Município;261180;88,59;82;93,32;99,62;36,62
Rio Formoso (PE);Município;261190;80,54;70,74;89,3;99,94;41,28
Sairé (PE);Município;261200;74,78;68,88;96,4;99,33;25
Salgadinho (PE);Município;261210;44,47;44,36;94,46;96,19;47,25
Salgueiro (PE);Município;261220;87,62;79,09;95,83;99,12;35,02
Saloá (PE);Município;261230;54,78;52,29;99,52;99,12;24,94
Sanharó (PE);Município;261240;81,07;78,08;99,2;99,73;31,91
Santa Cruz (PE);Município;261245;41,67;35,33;86,99;93,37;40,14
Santa Cruz da Baixa Verde (PE);Município;261247;65,79;58,24;95,95;99,17;28,87
Santa Cruz do Capibaribe (PE);Município;261250;79,67;78,01;97,87;99,92;29,39
Santa Filomena (PE);Município;261255;36,57;32,81;99,32;93,15;38,1
Santa Maria da Boa Vista (PE);Município;261260;76,59;63,33;91,78;97,71;41,17
Santa Maria do Cambucá (PE);Município;261270;33,56;39,36;94,6;99,75;33,14
Santa Terezinha (PE);Município;261280;69,63;66,86;89,53;98,64;33,38
São Benedito do Sul (PE);Município;261290;65,47;67,56;97,18;99,93;51,95
São Bento do Una (PE);Município;261300;58,05;49,89;97,87;99,5;32,25
São Caitano (PE);Município;261310;66,51;58,19;95,46;99,09;30,41
São João (PE);Município;261320;62,37;52,97;95,65;99,64;30,45
São Joaquim do Monte (PE);Município;261330;81,56;76,35;99,73;99,06;29,26
São José da Coroa Grande (PE);Município;261340;88,52;70,72;89,8;99,77;41,12
São José do Belmonte (PE);Município;261350;68,29;67,61;94,25;98,05;34,29
São José do Egito (PE);Município;261360;76,42;81,25;97,96;99,49;19,16
São Lourenço da Mata (PE);Município;261370;88,46;80,23;85,76;99,78;29,92
São Vicente Ferrer (PE);Município;261380;68,83;77,95;85,76;99,59;36,81
Serra Talhada (PE);Município;261390;83,64;77,63;89,79;99,61;28,47
Serrita (PE);Município;261400;47;53,17;93,22;98,65;40,83
Sertânia (PE);Município;261410;64,92;60,27;96,12;99,65;28,23
Sirinhaém (PE);Município;261420;79,36;75,96;91,98;99,49;36,9
Solidão (PE);Município;261440;42,52;40,23;90,2;98,92;28,2
Surubim (PE);Município;261450;82,11;77,55;94,73;99,95;22,13
Tabira (PE);Município;261460;75,87;79,45;94,34;99,2;19,63
Tacaimbó (PE);Município;261470;51,97;45,16;99,05;99,08;23,28
Tacaratu (PE);Município;261480;43,09;46,52;95,61;98,3;36,66
Tamandaré (PE);Município;261485;82,97;67,51;92,15;99,8;41,68
Taquaritinga do Norte (PE);Município;261500;44,39;53,03;97,14;99,84;24,11
Terezinha (PE);Município;261510;54,4;49,27;98,65;99,35;31,63
Terra Nova (PE);Município;261520;77,65;68,39;91,83;99,35;38,4
Timbaúba (PE);Município;261530;83,87;71,73;97,32;99,37;30,46
Toritama (PE);Município;261540;80,18;77,64;97,69;100;38,33
Tracunhaém (PE);Município;261550;79,14;68,38;87,01;99,46;30,92
Trindade (PE);Município;261560;85,71;74,32;83,76;99,47;41,16
Triunfo (PE);Município;261570;65,93;71,43;97,97;99,62;24,1
Tupanatinga (PE);Município;261580;45,89;41,21;85,68;98,36;40,76
Tuparetama (PE);Município;261590;81,29;85,98;97,53;99,77;18,08
Venturosa (PE);Município;261600;60,95;56,42;95,67;99,39;30,66
Verdejante (PE);Município;261610;75,41;57,44;84,9;97,35;38,69
Vertente do Lério (PE);Município;261618;2,38;18,9;93,78;99,53;29,96
Vertentes (PE);Município;261620;62,58;53,99;93,21;99,49;30,01
Vicência (PE);Município;261630;89,32;83,9;93,88;99,26;38
Vitória de Santo Antão (PE);Município;261640;83,68;78,43;96,16;99,77;24,03
Xexéu (PE);Município;261650;87,81;79,17;83,65;99,58;36,87
Acauã (PI);Município;220005;25,57;19,28;99,22;98,99;36,52
Agricolândia (PI);Município;220010;97,2;77,77;45,75;99,73;24,62
Água Branca (PI);Município;220020;92,8;85,29;95,03;99,01;26,9
Alagoinha do Piauí (PI);Município;220025;47,65;48,55;97,24;86,1;24,04
Alegrete do Piauí (PI);Município;220027;89,99;72,12;97,43;98,34;34,6
Alto Longá (PI);Município;220030;90,24;55,76;83,98;83,34;32,5
Altos (PI);Município;220040;84,33;60,43;59,4;98,23;33,65
Alvorada do Gurguéia (PI);Município;220045;88,17;62,98;66,82;93,82;38,35
Amarante (PI);Município;220050;73,71;69,06;73,89;96,91;29,53
Angical do Piauí (PI);Município;220060;96;82,73;76,19;99,01;22,11
Anísio de Abreu (PI);Município;220070;57,9;44,57;71,72;94,66;28,25
Antônio Almeida (PI);Município;220080;90,89;75,67;88,57;86,56;23,65
Aroazes (PI);Município;220090;78,14;65,1;77,86;99,07;30,7
Aroeiras do Itaim (PI);Município;220095;55,75;48,51;96,95;89,45;30,71
Arraial (PI);Município;220100;75,68;57,91;97,77;91,89;29,5
Assunção do Piauí (PI);Município;220105;78,55;40,94;63,65;96,86;45,67
Avelino Lopes (PI);Município;220110;70,09;54,34;88,67;69,16;25,93
Baixa Grande do Ribeiro (PI);Município;220115;89,17;48,43;93,3;78,98;35,83
Barra D'Alcântara (PI);Município;220117;95,16;65,91;94,07;99,13;22,66
Barras (PI);Município;220120;77,46;45,33;79,47;96,86;37,13
Barreiras do Piauí (PI);Município;220130;86,06;56,68;48,29;70,96;32,38
Barro Duro (PI);Município;220140;82,24;79,24;79,97;98,51;33,48
Batalha (PI);Município;220150;84,77;48,84;75,37;91,3;32,05
Bela Vista do Piauí (PI);Município;220155;90,71;65,8;98,99;74,44;31,44
Belém do Piauí (PI);Município;220157;54,23;35,76;88,64;84,6;29,39
Beneditinos (PI);Município;220160;86,96;54,8;84,58;84,43;32,52
Bertolínia (PI);Município;220170;85,87;74,38;24,91;92,84;29,94
Betânia do Piauí (PI);Município;220173;6,33;7,54;92,42;79,14;41,86
Boa Hora (PI);Município;220177;85,59;26,06;29,51;89,1;38,78
Bocaina (PI);Município;220180;95,81;79,98;96,69;97,68;26,22
Bom Jesus (PI);Município;220190;92,48;80,98;87,84;95,43;31,58
Bom Princípio do Piauí (PI);Município;220191;83,9;47,44;72,43;92,22;39,97
Bonfim do Piauí (PI);Município;220192;17,79;16,49;80,31;60,29;28,05
Boqueirão do Piauí (PI);Município;220194;88,09;44,95;65,32;96,98;30,45
Brasileira (PI);Município;220196;82,59;66,76;91,91;89,51;28,81
Brejo do Piauí (PI);Município;220198;59,2;53,36;96,3;75,29;29,5
Buriti dos Lopes (PI);Município;220200;78,48;56,06;71,92;93,53;36,55
Buriti dos Montes (PI);Município;220202;83,66;52,88;93,47;84,5;42,15
Cabeceiras do Piauí (PI);Município;220205;83,88;33,37;82,77;94,64;27,57
Cajazeiras do Piauí (PI);Município;220207;85,59;50,1;98,32;86,93;28,9
Cajueiro da Praia (PI);Município;220208;62,23;29,69;54,65;93,11;38,34
Caldeirão Grande do Piauí (PI);Município;220209;7,01;9,19;90,19;85,78;39,47
Campinas do Piauí (PI);Município;220210;51,37;50,32;99,73;88,6;22,34
Campo Alegre do Fidalgo (PI);Município;220211;34,66;36,29;92,99;66,34;42,57
Campo Grande do Piauí (PI);Município;220213;43,53;34,55;98,63;98,81;28,13
Campo Largo do Piauí (PI);Município;220217;73,69;22,34;62,28;96,06;52,36
Campo Maior (PI);Município;220220;91,53;78,28;93,26;97,91;27,12
Canavieira (PI);Município;220225;78,7;66,23;49,47;92,77;33,1
Canto do Buriti (PI);Município;220230;66,95;69;92,02;91,01;29,58
Capitão de Campos (PI);Município;220240;76,15;55,86;52,8;96,47;35,01
Capitão Gervásio Oliveira (PI);Município;220245;47,03;31,8;97,21;45,36;36,54
Caracol (PI);Município;220250;39,3;28,71;70,9;97,09;29,06
Caraúbas do Piauí (PI);Município;220253;66,48;32,63;94,68;73,51;43,19
Caridade do Piauí (PI);Município;220255;48,93;28,73;82,54;75,86;43,91
Castelo do Piauí (PI);Município;220260;83,27;61,7;92,52;85,89;35,17
Caxingó (PI);Município;220265;55,96;34,67;96,68;87,15;41,81
Cocal (PI);Município;220270;58,27;43,59;78,19;89,65;38,78
Cocal de Telha (PI);Município;220271;87,65;49,83;77,95;93,65;23,17
Cocal dos Alves (PI);Município;220272;77,36;42,81;28,91;92,3;39,64
Coivaras (PI);Município;220273;89,56;45,39;66,83;87,99;33,29
Colônia do Gurguéia (PI);Município;220275;95,39;94,04;52,99;97,68;24,94
Colônia do Piauí (PI);Município;220277;93,47;67,58;88,26;95,02;37,82
Conceição do Canindé (PI);Município;220280;63,54;73,29;91,22;82,28;30,71
Coronel José Dias (PI);Município;220285;34,14;34,55;84,08;47,88;23,63
Corrente (PI);Município;220290;78,25;60,26;93,69;82,36;31,54
Cristalândia do Piauí (PI);Município;220300;80,58;37,73;83,19;64,71;28,05
Cristino Castro (PI);Município;220310;87,05;67,04;78,36;90,44;32,02
Curimatá (PI);Município;220320;84,26;59,86;81,73;85,71;28,84
Currais (PI);Município;220323;78,16;41,55;66,31;84,7;38,61
Curralinhos (PI);Município;220325;95,83;39,15;46,96;95,59;35,46
Curral Novo do Piauí (PI);Município;220327;39,76;23;95;53,2;53,13
