Lugar;Espacialidade;COD IBGE;% da população em domicílios com água encanada (2010);% da população em domicílios com banheiro e água encanada (2010);% da população em domicílios com coleta de lixo (2010);% da população em domicílios com energia elétrica (2010);% da população em domicílios com densidade > 2 (2010)
Caetanos (BA);Município;290515;6,88;28,19;88,41;87,54;29,24
Caetité (BA);Município;290520;69,54;73,39;96,77;94,69;17,15
Cafarnaum (BA);Município;290530;80,76;75,42;94,25;95,84;26,77
Cairu (BA);Município;290540;92,89;88,87;97,7;98,45;40,14
Caldeirão Grande (BA);Município;290550;76,85;59,97;97,98;92,67;27,1
Camacan (BA);Município;290560;85,28;76,29;95,31;94,55;36,15
Camaçari (BA);Município;290570;96,45;89,03;96,3;99,81;32,36
Camamu (BA);Município;290580;84,08;60,47;92,98;83,82;41,53
Campo Alegre de Lourdes (BA);Município;290590;5,9;15,09;82,22;66,15;31,42
Campo Formoso (BA);Município;290600;67,07;56,88;94,03;97,09;26,29
Canápolis (BA);Município;290610;84,46;56,81;88,79;93,27;20,6
Canarana (BA);Município;290620;79,56;73,75;97,51;98,79;21,65
Canavieiras (BA);Município;290630;87,8;79,15;95,04;93,2;32,99
Candeal (BA);Município;290640;59,5;43,32;92,11;92,32;27,03
Candeias (BA);Município;290650;95,99;89,59;90,9;99,63;27,36
Candiba (BA);Município;290660;75,29;83,5;99,26;96,04;18,04
Cândido Sales (BA);Município;290670;68,2;70,95;95,19;98,45;21,47
Cansanção (BA);Município;290680;60,6;54,47;69,65;95,51;31,88
Canudos (BA);Município;290682;65,92;60,2;88,67;89,49;26,77
Capela do Alto Alegre (BA);Município;290685;72,12;67,42;99,23;92,31;16,48
Capim Grosso (BA);Município;290687;89,25;85,09;96,79;98,57;20,12
Caraíbas (BA);Município;290689;34,37;42,21;96,36;92,71;15,67
Caravelas (BA);Município;290690;84,4;67,16;95,5;95,14;34,57
Cardeal da Silva (BA);Município;290700;77,18;32,03;99,01;96,23;37,12
Carinhanha (BA);Município;290710;70,13;64,25;93,68;87,25;29,84
Casa Nova (BA);Município;290720;61,77;57,13;95,53;86,42;36,73
Castro Alves (BA);Município;290730;72,4;72,09;97,96;98;29,81
Catolândia (BA);Município;290740;67,59;80,07;89,36;96,32;15,86
Catu (BA);Município;290750;93,48;88,5;93,19;98,47;22,74
Caturama (BA);Município;290755;60,21;53,73;97,13;81,3;15,91
Central (BA);Município;290760;86,03;68,45;96,58;94,98;27,73
